gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
7423-10102,complete,https://lpl.qq.com/es/stats.shtml?bmid=7423,LDL,2021,Spring,0,2021-04-30 06:59:00,2,11.06,9,Red,bot,Gaze,eStar Young,Senna,Taliyah,Hecarim,Thresh,Gnar,Twisted Fate,1736,0,0,7,9,10,19,0,0,0,0,0,0,0,0,0.3456,1.0023,,,,,,,,,,,,,,,,,,,,,,,,,,11329,391.5553,0.178804,440.3917,196.5553,26,0.8986,11,0.3802,8,54,1.8664,7176,3359,116.0945,0.113733,6850,,24,24,0,0,0,0.8295,2314,2304,5,4324,3370,94,-2010,-1066,-89,0,1,1,2,2,0,3460,3485,8,7030,5501,154,-3570,-2016,-146,0,2,3,4,2,0
7423-10102,complete,https://lpl.qq.com/es/stats.shtml?bmid=7423,LDL,2021,Spring,0,2021-04-30 06:59:00,2,11.06,10,Red,sup,Gone2,eStar Young,Tahm Kench,Taliyah,Hecarim,Thresh,Gnar,Twisted Fate,1736,0,2,6,5,10,19,0,0,0,0,0,0,0,1,0.3456,1.0023,,,,,,,,,,,,,,,,,,,,,,,,,,4047,139.8733,0.0638731,581.3710,789.1935,9,0.3111,6,0.2074,7,17,0.5876,8454,4637,160.2650,0.157005,8025,,148,148,0,0,0,5.1152,2891,2734,67,2634,2447,13,257,287,54,0,1,2,1,3,0,4365,4408,105,4019,4299,23,346,109,82,0,2,2,1,5,0
7423-10102,complete,https://lpl.qq.com/es/stats.shtml?bmid=7423,LDL,2021,Spring,0,2021-04-30 06:59:00,2,11.06,100,Blue,team,,WanZhen Esports Club,,Nidalee,Udyr,Sylas,Volibear,Galio,1736,1,19,10,51,19,10,1,1,0,0,1,,,,0.6567,1.0023,0,3,1,3,1,0,2,1,0,,0,0,1,1,1,1,1,0,1,7,3,0,0,1,0,63887,2208.0760,,3118.0645,2660.1498,85,2.9378,32,1.1060,38,178,6.1521,54390,35305,1220.2189,,49450,0.0770766,,,219,146,9,,16481,17875,320,15593,18259,334,888,-384,-14,4,11,1,1,4,4,25953,29148,530,23731,28463,521,2222,685,9,6,14,2,2,7,6
7423-10102,complete,https://lpl.qq.com/es/stats.shtml?bmid=7423,LDL,2021,Spring,0,2021-04-30 06:59:00,2,11.06,200,Red,team,,eStar Young,,Taliyah,Hecarim,Thresh,Gnar,Twisted Fate,1736,0,10,19,30,10,19,0,0,0,0,0,,,,0.3456,1.0023,1,1,3,1,3,1,0,0,0,,0,0,0,1,1,0,0,1,0,3,7,1,1,0,1,63360,2189.8618,,2771.1290,2254.9424,66,2.2811,46,1.5899,30,192,6.6359,48619,29534,1020.7604,,45780,-0.0770766,,,192,136,16,,15593,18259,334,16481,17875,320,-888,384,14,1,4,4,4,11,1,23731,28463,521,25953,29148,530,-2222,-685,-9,2,7,6,6,14,2
7423-10103,complete,https://lpl.qq.com/es/stats.shtml?bmid=7423,LDL,2021,Spring,0,2021-04-30 07:46:00,3,11.06,1,Blue,top,mogu,eStar Young,Gnar,Taliyah,Tahm Kench,Hecarim,Elise,Olaf,1667,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0.0000,0.6119,,,,,,,,,,,,,,,,,,,,,,,,,,10358,372.8134,0.258614,582.6875,469.1662,9,0.3239,4,0.1440,2,20,0.7199,9048,5372,193.3533,0.238504,8650,,214,207,7,4,0,7.7025,3096,4795,78,3399,4695,95,-303,100,-17,0,0,0,0,0,0,4737,7481,122,5796,7565,150,-1059,-84,-28,0,0,0,1,1,0
7423-10103,complete,https://lpl.qq.com/es/stats.shtml?bmid=7423,LDL,2021,Spring,0,2021-04-30 07:46:00,3,11.06,2,Blue,jng,Emit,eStar Young,Udyr,Taliyah,Tahm Kench,Hecarim,Elise,Olaf,1667,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0.0000,0.6119,,,,,,,,,,,,,,,,,,,,,,,,,,2041,73.4613,0.0509588,884.1632,630.0540,10,0.3599,14,0.5039,10,40,1.4397,8071,4395,158.1884,0.195125,7850,,156,40,116,95,4,5.6149,2929,3105,61,2928,3030,59,1,75,2,0,0,0,0,1,0,4911,5103,98,4799,5386,104,112,-283,-6,0,0,0,1,1,0
7423-10103,complete,https://lpl.qq.com/es/stats.shtml?bmid=7423,LDL,2021,Spring,0,2021-04-30 07:46:00,3,11.06,3,Blue,mid,GYU,eStar Young,Syndra,Taliyah,Tahm Kench,Hecarim,Elise,Olaf,1667,0,0,2,0,0,17,0,0,0,0,0,0,0,0,0.0000,0.6119,,,,,,,,,,,,,,,,,,,,,,,,,,9844,354.3131,0.24578,226.7906,114.0252,12,0.4319,4,0.1440,3,20,0.7199,9329,5653,203.4673,0.25098,13825,,254,240,14,14,0,9.1422,3250,4513,88,3093,4572,81,157,-59,7,0,0,0,0,0,0,5220,7521,151,4757,7080,119,463,441,32,0,0,0,0,2,0
7423-10103,complete,https://lpl.qq.com/es/stats.shtml?bmid=7423,LDL,2021,Spring,0,2021-04-30 07:46:00,3,11.06,4,Blue,bot,Gaze,eStar Young,Tristana,Taliyah,Tahm Kench,Hecarim,Elise,Olaf,1667,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0.0000,0.6119,,,,,,,,,,,,,,,,,,,,,,,,,,13762,495.3329,0.343603,425.6509,191.0498,22,0.7918,5,0.1800,5,36,1.2957,9218,5542,199.4721,0.246052,8625,,250,245,5,5,0,8.9982,3054,3150,76,4240,3812,96,-1186,-662,-20,0,0,0,2,0,0,4633,4874,122,6593,5915,152,-1960,-1041,-30,0,0,1,2,2,0
7423-10103,complete,https://lpl.qq.com/es/stats.shtml?bmid=7423,LDL,2021,Spring,0,2021-04-30 07:46:00,3,11.06,5,Blue,sup,Gone2,eStar Young,Nautilus,Taliyah,Tahm Kench,Hecarim,Elise,Olaf,1667,0,0,6,0,0,17,0,0,0,0,0,0,0,1,0.0000,0.6119,,,,,,,,,,,,,,,,,,,,,,,,,,4047,145.6629,0.101044,395.4889,485.3989,41,1.4757,6,0.2160,11,64,2.3035,5238,1562,56.2208,0.0693401,5075,,35,35,0,0,0,1.2597,2126,2451,16,2219,2312,13,-93,139,3,0,0,2,0,2,0,3101,3602,23,3469,3955,24,-368,-353,-1,0,0,3,0,4,0
7423-10103,complete,https://lpl.qq.com/es/stats.shtml?bmid=7423,LDL,2021,Spring,0,2021-04-30 07:46:00,3,11.06,6,Red,top,Solokill,WanZhen Esports Club,Renekton,Nidalee,Thresh,Sylas,Rell,Rakan,1667,1,3,0,5,17,0,0,0,0,0,0,0,0,0,0.6119,0.6119,,,,,,,,,,,,,,,,,,,,,,,,,,10220,367.8464,0.219003,897.3005,646.3947,9,0.3239,4,0.1440,3,29,1.0438,11545,7869,283.2274,0.212383,10935,,266,241,25,17,3,9.5741,3399,4695,95,3096,4795,78,303,-100,17,0,0,0,0,0,0,5796,7565,150,4737,7481,122,1059,84,28,1,1,0,0,0,0
