game,bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport,result
NA1/3739484923,39,104,7,145,89,57,120,517,21,412,1
NA1/3739425010,14,2,112,135,12,41,203,34,145,44,0
NA1/3739245295,122,59,134,236,412,24,120,101,202,89,0
NA1/3739444750,98,104,84,21,57,67,876,236,202,3,1
NA1/3739185374,107,104,3,21,25,62,79,236,202,89,1
NA1/3739464872,79,104,268,21,57,164,203,112,81,3,0
NA1/3739425354,266,876,134,21,3,114,107,84,145,432,0
NA1/3739425471,164,104,134,21,412,58,81,89,79,61,0
6915-9197,79,2,61,145,875,58,104,3,523,412,0
6915-9198,164,104,4,145,875,24,76,112,202,12,0
6916-9199,266,76,142,202,3,516,104,112,145,12,1
6916-9200,58,76,126,523,412,85,104,142,145,875,0
6916-9201,150,76,4,145,89,126,104,112,202,12,0
ESPORTSTMNT02/1640112,164,80,43,21,3,78,104,61,145,12,1
ESPORTSTMNT02/1640127,58,104,61,145,89,516,245,246,202,12,0
ESPORTSTMNT02/1640143,14,2,70,21,201,98,876,246,202,89,0
ESPORTSTMNT02/1640154,150,203,70,222,43,106,2,268,202,497,0
NA1/3741211550,62,64,42,518,70,54,203,101,202,3,1
NA1/3741221590,84,876,777,135,89,57,121,1,21,70,1
NA1/3741211613,516,245,80,145,201,98,104,3,21,70,1
NA1/3741500797,78,876,70,202,412,8,121,3,21,89,1
NA1/3741630404,98,56,268,202,70,92,203,112,21,12,0
NA1/3741221703,31,203,112,67,89,516,2,268,135,3,1
NA1/3741211639,54,104,13,21,3,517,2,43,202,70,1
NA1/3741470828,82,2,61,145,412,164,104,3,523,111,0
NA1/3741331153,98,120,134,145,80,58,163,268,21,70,0
NA1/3741550739,266,120,268,145,12,240,876,875,135,89,1
NA1/3741570696,24,2,117,145,497,266,76,39,81,12,1
NA1/3741271239,82,104,61,135,3,54,79,157,145,12,0
NA1/3741351212,164,76,517,202,80,516,876,39,21,12,0
NA1/3741600545,57,876,80,202,412,266,104,134,145,89,1
NA1/3741400897,266,203,112,145,111,41,427,34,135,79,0
NA1/3741471233,516,104,268,135,497,98,163,55,202,201,0
NA1/3741610911,14,163,777,145,3,62,104,34,135,412,0
NA1/3741501280,122,163,875,22,12,41,120,517,145,89,1
NA1/3741351579,98,245,142,81,80,150,104,105,236,201,1
NA1/3741212085,266,104,70,145,3,54,876,236,202,201,0
NA1/3741212090,164,2,134,18,427,84,104,70,21,89,1
NA1/3741501311,164,9,70,202,412,106,104,3,22,117,1
NA1/3741571128,266,76,134,202,12,85,104,34,81,497,1
NA1/3741391406,98,121,245,21,412,266,104,134,202,111,0
NA1/3741541283,24,120,42,21,71,114,72,245,202,89,0
NA1/3741441248,78,104,134,236,201,82,163,80,202,432,1
NA1/3741471353,58,163,84,202,57,98,104,61,145,3,0
NA1/3741471379,62,163,3,145,111,79,104,42,523,57,0
NA1/3741331718,6,104,517,135,57,164,113,112,202,3,1
NA1/3741222396,164,72,112,145,89,266,876,777,202,412,0
NA1/3741501670,516,104,70,523,412,54,76,142,145,57,0
NA1/3741411811,98,120,112,145,432,266,163,4,202,57,1
NA1/3741232383,266,163,236,202,3,62,104,112,135,89,1
NA1/3741571679,164,876,61,202,12,266,2,3,145,432,0
NA1/3741541868,266,141,61,145,57,58,876,112,202,3,0
6971-9202,516,104,142,202,12,266,80,134,523,412,1
ESPORTSTMNT01/1690520,164,163,777,202,875,150,76,61,145,12,0
6971-9203,62,2,4,145,875,79,104,142,135,89,0
6973-9204,516,2,61,145,875,266,80,142,67,3,0
6972-9205,150,2,142,202,89,266,104,61,145,497,1
ESPORTSTMNT01/1690549,150,80,112,523,412,58,2,134,145,875,1
6973-9207,84,76,236,145,12,266,80,134,523,875,0
6917-9211,98,80,61,145,3,516,104,134,498,89,0
6972-9206,85,2,142,202,80,54,104,61,145,497,1
ESPORTSTMNT01/1690563,164,2,3,523,412,150,104,142,145,875,0
6917-9212,150,80,134,202,98,266,113,112,135,89,0
6973-9208,516,2,112,145,12,266,76,142,81,875,1
6974-9209,164,76,134,21,98,8,163,236,202,89,1
6917-9213,516,104,134,135,79,164,2,84,202,875,0
6918-9214,150,80,61,18,89,43,104,142,202,3,0
ESPORTSTMNT01/1690580,875,2,61,145,71,164,104,142,202,12,0
6974-9215,85,76,236,21,12,266,163,80,202,57,1
6918-9217,150,2,142,18,12,67,104,61,236,89,0
ESPORTSTMNT01/1690585,58,163,39,135,57,516,104,112,145,71,0
6974-9218,266,76,84,523,412,126,163,3,21,89,0
ESPORTSTMNT02/1640233,266,104,134,145,12,58,163,61,135,71,1
ESPORTSTMNT02/1640249,14,163,18,22,89,516,64,245,202,201,0
ESPORTSTMNT02/1640264,126,104,134,135,79,54,203,142,22,3,0
ESPORTSTMNT02/1640279,98,421,3,202,12,58,876,112,145,79,1
6976-9219,79,203,134,145,875,266,104,3,498,89,0
6976-9220,79,876,236,145,875,266,104,112,202,89,0
ESPORTSTMNT01/1690820,126,76,134,523,412,150,2,142,21,89,0
6977-9221,266,876,134,145,875,58,104,142,21,412,0
6978-9222,79,104,61,21,89,164,76,3,135,12,1
ESPORTSTMNT01/1690828,516,104,142,135,12,150,2,517,202,71,0
6977-9224,516,104,3,145,875,58,120,61,135,12,1
6978-9223,85,2,61,135,3,164,104,84,236,89,1
6919-9227,516,104,3,135,79,266,876,4,145,412,1
ESPORTSTMNT01/1690841,150,2,134,81,12,126,104,142,202,3,0
6978-9226,266,76,142,523,89,164,876,777,222,412,1
6919-9228,150,876,4,67,875,164,104,3,135,79,0
6980-9230,58,76,134,145,12,266,163,875,21,89,0
ESPORTSTMNT03/1681444,150,104,142,523,12,164,2,4,202,79,0
6920-9231,61,80,13,145,89,266,2,112,523,3,0
6920-9234,54,2,61,145,89,517,80,112,523,412,1
ESPORTSTMNT03/1681477,516,2,61,135,70,117,104,142,67,201,0
6920-9233,266,76,268,135,57,150,876,61,498,12,1
ESPORTSTMNT03/1681511,79,203,61,145,875,266,104,142,202,70,0
ESPORTSTMNT02/1640319,58,163,236,498,201,84,64,112,145,12,0
ESPORTSTMNT02/1640323,62,20,134,135,12,266,120,112,145,79,1
ESPORTSTMNT02/1640330,106,76,84,202,71,58,876,38,145,89,1
ESPORTSTMNT02/1650355,98,2,61,135,79,875,76,236,81,12,0
ESPORTSTMNT01/1691020,133,76,142,523,412,58,876,134,145,3,1
6981-9236,58,163,134,135,57,516,76,84,145,12,0
6981-9237,150,76,126,135,12,266,104,517,145,875,1
6981-9238,62,141,7,202,875,126,876,61,145,3,1
6983-9239,114,163,3,145,12,266,76,80,135,89,0
ESPORTSTMNT01/1691048,164,163,61,202,111,150,76,142,523,71,0
6983-9240,150,876,134,145,111,39,120,61,523,412,1
6921-9241,150,120,3,145,89,126,80,61,498,12,1
6982-9242,516,104,61,145,71,875,876,236,202,12,0
ESPORTSTMNT01/1691071,106,76,777,135,12,58,876,268,523,412,1
6921-9243,58,80,61,498,497,150,266,134,135,12,0
6985-9244,98,245,4,145,875,58,80,61,135,12,1
6982-9245,164,2,84,523,412,58,163,61,135,89,0
6985-9287,98,141,4,145,3,58,876,142,135,875,0
6982-9247,516,2,245,145,111,875,203,134,119,412,1
6922-9246,58,113,134,145,875,85,104,61,523,412,0
ESPORTSTMNT01/1691105,150,2,268,135,3,41,104,142,145,12,1
6922-9248,516,64,142,498,89,58,876,777,145,875,0
6985-9288,126,30,3,523,412,266,120,134,145,875,0
ESPORTSTMNT01/1691118,150,2,142,145,111,164,876,268,135,71,0
ESPORTSTMNT04/1480139,266,2,134,145,89,54,120,34,21,57,1
ESPORTSTMNT04/1480142,98,2,134,21,57,266,113,69,81,412,0
ESPORTSTMNT04/1480143,98,2,70,135,12,62,104,69,145,89,0
ESPORTSTMNT03/1671978,58,163,4,145,875,150,104,61,498,89,0
ESPORTSTMNT03/1671992,164,76,134,135,89,54,104,4,145,875,0
ESPORTSTMNT03/1672030,58,104,134,145,3,516,876,777,236,89,0
ESPORTSTMNT03/1672038,58,163,777,135,89,516,104,61,145,71,0
ESPORTSTMNT03/1672041,58,113,84,202,12,41,104,4,145,3,1
ESPORTSTMNT01/1691379,54,104,268,135,12,164,876,112,145,89,1
6986-9251,85,104,245,145,89,164,2,112,523,412,0
6986-9252,164,163,236,145,12,266,104,61,135,79,0
6986-9253,58,876,875,18,3,266,76,236,498,12,0
ESPORTSTMNT01/1691409,133,163,61,145,12,58,76,3,135,89,0
6987-9258,516,2,112,145,875,8,80,104,523,412,0
6923-9255,516,2,134,135,12,266,80,3,145,875,1
ESPORTSTMNT01/1691411,164,163,4,21,57,82,64,69,145,12,0
6987-9259,79,80,84,145,875,150,2,202,115,89,0
6923-9260,150,2,134,21,875,126,876,236,202,89,1
6923-9262,79,2,13,145,3,150,104,4,202,89,0
6989-9261,62,30,142,145,875,266,2,112,202,3,0
6924-9263,58,76,61,145,89,516,120,112,523,412,0
6990-9266,58,76,126,202,111,150,876,134,145,12,0
ESPORTSTMNT01/1691433,79,104,142,523,412,266,2,61,145,875,0
6989-9265,58,80,4,145,875,164,30,61,119,412,0
6924-9264,126,2,68,523,412,150,104,142,145,12,0
ESPORTSTMNT01/1691436,150,80,3,135,12,41,76,61,145,875,0
6990-9267,58,76,61,81,12,266,163,875,145,89,0
6989-9270,54,2,142,145,12,517,113,157,21,875,0
6924-9268,79,2,61,523,412,266,104,68,145,89,0
6990-9269,266,163,134,145,875,114,2,61,523,497,0
ESPORTSTMNT03/1682154,14,203,142,135,12,164,163,4,145,89,1
ESPORTSTMNT03/1682203,164,76,112,202,12,58,163,61,135,89,1
ESPORTSTMNT03/1682216,92,2,61,145,71,6,876,39,523,3,1
ESPORTSTMNT03/1682228,114,76,4,145,12,106,163,39,202,89,1
ESPORTSTMNT03/1682262,85,2,142,202,89,150,76,777,21,3,0
ESPORTSTMNT03/1682269,58,76,142,202,412,79,876,236,145,71,0
ESPORTSTMNT03/1682284,164,163,3,429,412,150,76,61,202,12,1
ESPORTSTMNT03/1682323,114,76,61,202,89,164,203,3,21,12,1
ESPORTSTMNT03/1682335,79,104,112,145,111,164,30,777,135,3,0
ESPORTSTMNT03/1682356,150,163,112,202,71,58,876,61,145,875,0
NA1/3745208276,98,163,142,523,412,164,245,3,145,89,0
NA1/3745407667,106,104,61,145,12,58,76,18,523,89,0
NA1/3745368371,516,104,115,145,111,266,107,112,523,412,0
NA1/3745278370,98,2,34,145,89,10,104,112,21,3,0
NA1/3745487702,164,203,3,523,117,58,876,268,145,875,0
NA1/3745407775,164,113,777,145,412,516,121,61,523,201,1
NA1/3745148711,54,120,84,202,89,266,104,4,145,3,1
NA1/3745278434,78,120,112,202,44,79,104,70,145,3,0
NA1/3745288195,57,120,3,145,111,98,104,268,523,412,1
NA1/3745447842,98,120,268,21,70,82,76,236,202,12,1
NA1/3745607540,266,104,3,523,201,516,203,70,202,412,0
NA1/3745417800,82,2,142,523,412,164,104,134,145,497,1
NA1/3745567470,164,2,3,145,497,98,203,101,67,201,1
NA1/3745407851,516,80,84,21,12,420,72,117,523,412,1
NA1/3745597012,106,163,80,523,71,62,59,61,145,89,1
NA1/3745458005,516,104,61,202,12,58,163,517,21,70,1
NA1/3745298302,41,163,112,21,412,54,120,70,145,89,0
NA1/3745278905,266,104,117,145,875,78,120,142,202,3,1
NA1/3745567953,516,120,3,21,497,58,163,142,202,875,0
NA1/3745408302,114,80,134,21,89,266,60,245,145,412,1
NA1/3745369025,98,2,4,145,497,516,203,84,523,412,0
NA1/3745278933,58,163,7,145,80,150,76,101,202,89,1
NA1/3745369076,98,104,13,523,57,80,163,136,145,16,1
NA1/3745408382,58,2,43,135,12,164,30,238,145,40,1
NA1/3745608137,82,120,104,202,89,58,876,54,21,70,1
NA1/3745369091,14,203,70,202,201,54,2,10,145,89,1
NA1/3745398634,164,120,245,145,3,516,876,134,135,71,1
NA1/3745069674,114,2,777,70,3,57,76,238,202,142,1
NA1/3745249099,164,20,112,523,89,92,80,142,202,12,1
NA1/3745448616,98,163,236,145,89,266,120,112,135,3,0
NA1/3745369513,98,245,777,145,201,516,120,112,21,70,1
NA1/3745408824,24,163,875,145,25,62,876,92,67,12,1
NA1/3746880053,82,120,517,18,89,98,113,58,135,12,0
NA1/3745418833,98,2,134,202,79,14,203,245,21,12,1
NA1/3745488877,266,2,61,202,57,122,20,70,523,25,1
NA1/3745449081,516,2,245,135,412,24,104,134,145,12,0
ESPORTSTMNT01/1691645,266,876,142,135,12,150,76,236,145,3,1
6991-9271,14,2,134,145,89,516,104,777,523,412,0
6991-9272,85,2,84,202,12,150,80,3,21,111,0
6991-9273,85,104,3,145,875,266,876,517,523,412,0
6993-9274,150,2,61,67,412,85,104,112,135,89,1
ESPORTSTMNT01/1691675,150,104,134,145,57,58,76,61,135,89,0
6992-9276,85,104,61,523,412,126,76,777,202,89,0
6993-9275,150,2,142,18,71,516,104,84,202,89,0
6925-9277,58,163,875,145,89,516,104,4,67,201,0
ESPORTSTMNT01/1691681,82,104,61,135,71,164,876,4,145,3,0
6992-9280,62,76,112,145,12,85,104,3,21,89,1
6925-9278,58,2,43,21,70,126,76,61,523,412,0
6995-9281,266,104,134,145,12,164,120,61,202,3,1
ESPORTSTMNT01/1691701,150,80,42,523,412,85,2,134,145,70,1
6926-9284,516,104,61,18,12,150,876,134,145,89,1
6994-9283,164,76,4,145,3,58,203,61,119,875,0
6925-9279,150,80,268,498,89,58,104,61,145,111,0
6995-9282,114,104,4,498,111,164,30,3,145,71,1
6926-9285,164,163,61,145,89,79,2,134,202,3,0
6994-9286,164,76,4,145,412,58,104,3,523,111,0
6926-9289,164,80,61,18,3,126,876,134,236,89,0
ESPORTSTMNT03/1682437,777,76,84,21,3,266,104,7,145,111,0
ESPORTSTMNT03/1682456,58,2,112,523,875,79,76,126,145,89,1
ESPORTSTMNT01/1681947,39,427,142,135,71,266,20,61,21,89,1
ESPORTSTMNT03/1682474,106,163,236,202,3,79,104,142,145,875,1
ESPORTSTMNT03/1682482,58,163,142,145,3,150,104,61,523,89,1
ESPORTSTMNT03/1682498,58,163,777,22,111,54,120,134,145,3,1
ESPORTSTMNT01/1682000,516,80,61,145,12,875,2,134,202,89,0
ESPORTSTMNT03/1672441,266,163,142,523,12,126,203,61,145,79,0
ESPORTSTMNT01/1682040,516,120,61,21,12,14,163,236,202,201,1
ESPORTSTMNT03/1672458,266,2,3,523,117,58,876,69,135,89,0
ESPORTSTMNT03/1672480,150,76,142,523,89,58,104,13,145,57,1
ESPORTSTMNT03/1672495,516,2,268,202,57,58,104,134,145,12,0
ESPORTSTMNT03/1672520,41,76,61,523,412,516,104,134,145,111,0
NA1/3747025816,150,2,517,145,3,58,120,268,21,70,0
NA1/3747274975,58,876,61,145,875,516,2,3,21,412,0
NA1/3747205360,122,104,112,145,111,98,120,268,523,412,1
NA1/3747504571,516,245,236,145,57,106,163,39,523,117,0
NA1/3747255192,43,2,61,523,3,266,104,142,145,412,0
NA1/3747075828,31,2,112,202,57,164,876,238,145,12,0
NA1/3747285086,84,2,777,523,412,516,203,101,67,89,0
NA1/3747394840,240,876,80,21,12,266,76,112,202,3,0
NA1/3747245504,54,104,127,523,412,84,64,517,145,117,1
NA1/3747175418,266,104,43,145,12,41,59,134,498,89,0
ESPORTSTMNT03/1682665,266,104,61,523,412,164,76,112,202,89,0
NA1/3747275468,150,163,875,145,3,58,876,236,523,12,0
NA1/3747495111,777,104,142,498,3,266,76,58,145,12,0
NA1/3747215990,98,2,4,145,267,516,876,245,67,117,1
NA1/3747295669,14,2,61,202,57,122,104,134,21,44,0
NA1/3747395342,98,203,112,145,89,62,876,268,21,70,1
NA1/3747086402,58,120,3,21,98,164,876,42,145,875,1
NA1/3747385493,78,120,134,21,70,164,79,245,145,12,0
NA1/3747096311,84,154,236,202,57,54,76,101,523,89,0
NA1/3746976321,58,2,142,145,3,98,876,245,21,875,0
NA1/3747255896,266,2,134,21,412,82,76,238,202,12,0
NA1/3747096417,516,2,268,523,412,98,203,61,21,80,1
NA1/3747216211,420,72,134,145,89,164,76,3,135,12,1
ESPORTSTMNT03/1682676,58,104,142,523,25,98,876,18,145,412,1
NA1/3747246481,266,60,39,22,201,777,76,63,202,70,1
NA1/3747216484,41,2,18,74,412,516,876,39,21,432,0
NA1/3747296216,54,2,61,145,12,62,104,134,202,40,0
NA1/3747096879,54,876,61,135,71,57,104,134,21,12,1
NA1/3747386027,106,121,84,21,89,79,421,90,202,412,0
ESPORTSTMNT03/1682678,164,104,69,145,432,58,876,112,236,875,0
ESPORTSTMNT01/1682126,126,163,777,135,89,62,76,61,145,12,0
ESPORTSTMNT01/1682253,266,876,61,145,12,85,104,39,135,57,0
6927-9295,58,2,268,145,497,266,876,61,135,12,1
7000-9298,266,80,112,202,89,126,2,134,523,412,1
ESPORTSTMNT01/1682289,58,76,134,51,25,516,2,4,523,70,0
6927-9297,164,64,3,145,89,516,104,61,202,12,0
6997-9300,266,80,61,145,3,68,113,39,135,12,1
7000-9301,516,2,134,523,875,126,876,245,202,412,0
6927-9299,266,2,3,18,89,58,80,61,67,875,1
6928-9302,126,104,4,21,12,150,2,142,202,432,0
ESPORTSTMNT01/1682315,126,76,134,523,412,79,2,142,81,432,1
7000-9303,58,163,80,498,412,266,2,84,202,3,0
6997-9305,68,203,142,523,412,266,876,246,145,89,0
6928-9304,126,876,777,145,3,150,2,142,429,44,0
ESPORTSTMNT01/1682348,266,76,18,21,57,150,104,142,145,79,1
6928-9306,164,80,3,21,111,58,876,142,202,57,1
6999-9307,58,76,142,523,412,106,876,238,145,111,1
6999-9308,164,163,517,145,89,24,120,3,135,12,0
6999-9309,82,120,142,135,12,164,876,777,498,89,1
ESPORTSTMNT01/1692256,43,203,517,145,412,98,104,84,523,89,0
ESPORTSTMNT01/1692281,79,2,70,145,89,58,76,245,202,497,1
ESPORTSTMNT01/1682441,58,2,134,202,53,164,163,112,523,412,0
ESPORTSTMNT01/1692300,58,163,142,202,57,150,80,112,21,89,0
ESPORTSTMNT01/1682464,58,427,34,81,57,62,120,70,145,89,0
ESPORTSTMNT04/1480272,150,2,112,523,412,54,141,142,202,201,0
ESPORTSTMNT04/1480275,266,120,34,202,70,58,30,39,523,412,0
ESPORTSTMNT01/1692326,150,2,134,145,79,58,104,112,81,201,0
ESPORTSTMNT01/1682498,58,2,142,202,412,266,876,39,70,555,1
ESPORTSTMNT04/1490245,78,80,34,145,12,164,2,163,67,89,1
ESPORTSTMNT04/1480302,106,104,70,145,12,8,2,61,498,89,0
ESPORTSTMNT01/1692355,79,2,61,235,3,31,104,134,523,201,1
ESPORTSTMNT01/1682526,126,120,70,145,117,150,104,25,81,111,0
ESPORTSTMNT04/1480335,875,203,117,145,111,14,876,4,523,412,0
ESPORTSTMNT01/1692360,84,163,777,145,79,266,104,517,22,71,0
NA1/3749232135,164,163,142,145,3,58,76,4,202,201,1
NA1/3749082701,164,2,134,236,70,266,876,777,145,111,0
NA1/3749232248,79,2,61,523,70,164,30,777,67,117,1
NA1/3749072813,98,104,134,135,3,164,76,142,498,89,0
NA1/3749521574,516,30,18,145,3,164,76,112,523,412,1
NA1/3749391904,62,163,134,523,98,67,76,142,145,12,1
NA1/3749192626,98,2,3,523,497,62,64,84,145,25,1
NA1/3749421843,86,876,80,18,117,516,104,142,145,12,1
NA1/3749441633,14,141,70,145,12,164,20,43,523,412,0
NA1/3749531560,98,120,268,145,89,266,80,3,523,412,1
NA1/3749072883,164,876,3,21,143,516,60,58,523,201,0
NA1/3749531593,164,104,134,202,89,79,245,61,135,57,0
NA1/3749412376,266,72,34,523,25,56,141,61,145,89,0
NA1/3749332354,150,876,142,523,12,75,76,99,202,89,1
NA1/3749422204,516,104,50,202,89,58,163,3,21,44,1
NA1/3749412425,122,2,43,523,412,106,56,61,145,3,0
NA1/3749392376,164,120,3,518,70,266,60,61,145,432,0
NA1/3749232723,62,2,7,145,71,58,876,84,523,89,0
NA1/3749392378,98,203,34,145,412,67,163,777,523,89,1
NA1/3749392385,240,163,4,145,12,58,104,142,523,412,1
NA1/3749531979,98,104,99,236,267,266,876,777,145,70,1
NA1/3749422286,41,64,18,74,3,98,76,777,145,875,1
NA1/3749242644,164,113,142,145,89,516,163,80,67,412,1
NA1/3749083404,79,104,134,18,89,57,876,777,236,78,0
NA1/3749422629,41,76,777,145,3,24,163,136,21,43,0
NA1/3749412943,6,30,101,145,12,122,72,99,523,3,0
NA1/3749193501,516,2,134,67,350,10,104,236,145,201,0
NA1/3749233343,82,104,134,18,89,164,163,4,202,3,0
ESPORTSTMNT01/1682619,164,163,84,135,71,54,2,61,523,412,0
ESPORTSTMNT01/1682629,54,2,134,145,3,150,163,39,135,79,1
6929-9310,58,876,84,498,12,41,163,13,145,89,1
ESPORTSTMNT01/1682639,516,76,39,145,57,266,104,84,202,3,0
6929-9311,58,64,13,523,412,266,876,39,145,875,0
6930-9312,266,2,112,498,89,126,104,142,145,412,0
ESPORTSTMNT01/1682656,266,30,236,21,89,164,876,61,202,412,0
6930-9313,150,876,134,145,111,58,163,142,498,57,1
ESPORTSTMNT01/1682689,79,104,134,145,875,516,76,39,135,89,0
ESPORTSTMNT01/1692604,266,163,134,145,12,150,876,84,21,89,0
ESPORTSTMNT01/1682791,98,2,777,115,12,84,80,42,523,71,0
ESPORTSTMNT01/1692634,98,121,80,21,70,82,876,236,523,412,1
ESPORTSTMNT05/1770231,516,104,142,145,12,41,30,517,523,111,0
ESPORTSTMNT01/1682837,6,2,61,21,12,518,104,777,145,89,1
ESPORTSTMNT04/1480363,58,163,134,135,111,98,76,61,145,412,0
ESPORTSTMNT01/1682850,58,2,13,22,70,266,76,34,145,12,0
ESPORTSTMNT01/1682882,14,104,61,21,70,106,141,7,202,432,1
ESPORTSTMNT01/1692696,41,104,3,21,12,43,2,134,202,89,1
ESPORTSTMNT01/1682906,14,104,112,523,89,41,2,61,135,12,1
ESPORTSTMNT05/1780255,58,876,236,498,3,122,163,134,145,89,1
ESPORTSTMNT01/1682914,58,76,236,523,201,150,2,70,50,89,1
ESPORTSTMNT04/1480394,150,163,134,22,57,126,104,142,202,89,0
ESPORTSTMNT03/1682966,150,120,34,21,3,516,203,61,145,875,1
ESPORTSTMNT01/1692743,150,876,777,135,412,114,427,84,523,57,1
ESPORTSTMNT01/1682971,98,120,70,202,43,122,2,136,21,432,1
ESPORTSTMNT05/1780270,150,876,517,145,12,98,120,112,202,57,1
ESPORTSTMNT01/1683002,14,876,777,70,89,58,163,517,202,12,1
ESPORTSTMNT05/1780277,58,163,61,135,89,14,876,134,202,57,0
ESPORTSTMNT04/1480408,516,876,236,67,201,84,76,875,145,12,1
ESPORTSTMNT05/1780291,58,76,126,21,89,150,876,61,145,111,0
ESPORTSTMNT03/1683052,98,2,61,498,89,164,876,39,81,3,0
ESPORTSTMNT03/1683073,39,104,517,135,89,54,120,8,523,3,0
NA1/3749428464,62,2,61,21,70,266,876,112,523,412,1
NA1/3749408661,84,2,268,523,412,117,30,61,145,12,0
NA1/3749418891,150,76,3,21,111,58,876,61,523,412,0
NA1/3749089271,39,104,101,51,25,41,203,84,202,57,1
NA1/3749328707,164,163,80,202,12,106,76,142,523,412,0
NA1/3749448400,164,876,4,523,3,58,28,777,145,432,0
NA1/3749408749,266,76,84,145,12,62,104,112,523,412,0
NA1/3749199198,58,876,61,145,89,164,121,112,202,3,1
NA1/3750879758,84,104,142,523,201,164,203,245,202,89,0
NA1/3749109713,83,876,80,523,117,106,2,84,145,26,0
NA1/3749089357,54,104,142,523,44,517,876,236,145,89,0
NA1/3749079664,516,64,84,498,79,164,2,112,145,497,0
