gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT06/1730604,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1730604?gameHash=6950e00864b7c685,MSI,2021,,0,2021-05-11 12:09:31,1,11.09,9,Red,bot,Ghost,DWG KIA,Kai'Sa,Thresh,Morgana,Senna,Leona,Kalista,2670,0,4,2,10,18,24,1,0,0,0,0,0,0,0,0.4045,0.9438,,,,,,,,,,,,,,,,,,,,,,,,1,3,27262,612.6292,0.209,585.5730,407.7528,34,0.7640,20,0.4494,7,49,1.1011,19745,14023,315.1236,0.27067,19700,,437,387,50,39,4,9.8202,3166,3282,83,3097,3121,79,69,161,4,0,0,0,0,0,0,4953,5557,137,5235,5430,135,-282,127,2,0,0,0,1,0,0
ESPORTSTMNT06/1730604,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1730604?gameHash=6950e00864b7c685,MSI,2021,,0,2021-05-11 12:09:31,1,11.09,10,Red,sup,BeryL,DWG KIA,Nautilus,Thresh,Morgana,Senna,Leona,Kalista,2670,0,0,6,12,18,24,0,0,0,0,0,0,0,0,0.4045,0.9438,,,,,,,,,,,,,,,,,,,,,,,,0,0,6528,146.6966,0.050046,491.0112,840.0000,88,1.9775,29,0.6517,26,147,3.3034,9600,3878,87.1461,0.074847,9400,,57,56,1,0,1,1.2809,2067,2428,13,2008,2352,15,59,76,-2,0,0,0,0,0,0,2999,3328,21,3137,3673,20,-138,-345,1,0,0,2,0,2,0
ESPORTSTMNT06/1730604,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1730604?gameHash=6950e00864b7c685,MSI,2021,,0,2021-05-11 12:09:31,1,11.09,100,Blue,team,,Cloud9,,Gnar,Varus,Renekton,Nocturne,Sett,2670,1,24,18,57,24,18,3,0,0,0,0,,,,0.5393,0.9438,1,4,3,4,3,0,3,0,1,,0,0,0,1,1,0,1,1,0,11,7,1,0,4,1,111919,2515.0337,,3722.5393,4532.4944,173,3.8876,80,1.7978,59,361,8.1124,81612,53000,1191.0112,,80425,0.0197771,,1131,287,210,12,31.8652,15068,18788,333,15881,19202,345,-813,-414,-12,1,1,1,1,1,1,24473,31479,538,24781,30858,552,-308,621,-14,5,6,2,2,2,5
ESPORTSTMNT06/1730604,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1730604?gameHash=6950e00864b7c685,MSI,2021,,0,2021-05-11 12:09:31,1,11.09,200,Red,team,,DWG KIA,,Thresh,Morgana,Senna,Leona,Kalista,2670,0,18,24,44,18,24,2,1,0,0,1,,,,0.4045,0.9438,0,3,4,3,4,0,2,1,0,,0,0,1,1,1,1,1,1,1,7,11,0,1,1,4,130440,2931.2360,,3409.8427,3448.6292,173,3.8876,71,1.5955,67,359,8.0674,80419,51807,1164.2022,,78850,-0.0197771,,1096,396,260,40,33.5281,15881,19202,345,15068,18788,333,813,414,12,1,1,1,1,1,1,24781,30858,552,24473,31479,538,308,-621,14,2,2,5,5,6,2
ESPORTSTMNT06/1730615,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1730615?gameHash=4eeef7e87c7c7bae,MSI,2021,,0,2021-05-11 14:02:39,1,11.09,1,Blue,top,Evi,DetonatioN FocusMe,Gnar,Thresh,Xayah,Zoe,Sylas,Viktor,1606,1,11,2,4,19,6,3,1,0,0,1,1,0,0,0.7098,0.9340,,,,,,,,,,,,,,,,,,,,,,,,1,0,19590,731.8804,0.376992,602.2416,427.8829,8,0.2989,7,0.2615,6,31,1.1582,13989,10437,389.9253,0.285755,13110,,212,190,22,3,14,7.9203,3668,4863,85,3132,4304,72,536,559,13,1,0,0,0,1,1,5812,7059,121,4854,7015,129,958,44,-8,1,1,0,0,1,2
ESPORTSTMNT06/1730615,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1730615?gameHash=4eeef7e87c7c7bae,MSI,2021,,0,2021-05-11 14:02:39,1,11.09,2,Blue,jng,Steal,DetonatioN FocusMe,Udyr,Thresh,Xayah,Zoe,Sylas,Viktor,1606,1,3,2,10,19,6,0,0,0,0,1,0,1,0,0.7098,0.9340,,,,,,,,,,,,,,,,,,,,,,,,0,0,6727,251.3200,0.129455,868.3188,871.1955,11,0.4110,12,0.4483,12,46,1.7186,10255,6703,250.4234,0.183524,9900,,166,30,136,83,16,6.2017,3390,3737,72,3363,3503,62,27,234,10,0,1,1,1,0,0,5490,6058,111,4562,4954,91,928,1104,20,1,1,1,1,0,0
ESPORTSTMNT06/1730615,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1730615?gameHash=4eeef7e87c7c7bae,MSI,2021,,0,2021-05-11 14:02:39,1,11.09,3,Blue,mid,Aria,DetonatioN FocusMe,LeBlanc,Thresh,Xayah,Zoe,Sylas,Viktor,1606,1,2,0,9,19,6,0,0,0,0,0,0,0,0,0.7098,0.9340,,,,,,,,,,,,,,,,,,,,,,,,1,0,11087,414.2092,0.213359,371.0959,194.1594,10,0.3736,9,0.3362,5,28,1.0461,10751,7199,268.9539,0.197103,10325,,225,213,12,12,0,8.4060,3298,5065,90,3067,4390,79,231,675,11,0,0,0,0,0,0,5078,7665,140,4757,6937,130,321,728,10,0,1,0,0,0,0
ESPORTSTMNT06/1730615,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1730615?gameHash=4eeef7e87c7c7bae,MSI,2021,,0,2021-05-11 14:02:39,1,11.09,4,Blue,bot,Yutapon,DetonatioN FocusMe,Tristana,Thresh,Xayah,Zoe,Sylas,Viktor,1606,1,3,1,6,19,6,0,0,0,0,0,0,0,0,0.7098,0.9340,,,,,,,,,,,,,,,,,,,,,,,,0,0,10503,392.3910,0.202121,388.4682,155.6040,18,0.6725,7,0.2615,3,35,1.3076,12170,8618,321.9676,0.235954,11800,,277,233,44,23,5,10.3487,3250,2830,87,3384,3321,94,-134,-491,-7,0,0,0,0,0,0,5543,5840,157,5278,5440,152,265,400,5,0,0,0,0,0,0
ESPORTSTMNT06/1730615,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1730615?gameHash=4eeef7e87c7c7bae,MSI,2021,,0,2021-05-11 14:02:39,1,11.09,5,Blue,sup,Kazu,DetonatioN FocusMe,Alistar,Thresh,Xayah,Zoe,Sylas,Viktor,1606,1,0,1,13,19,6,0,0,0,0,0,0,0,0,0.7098,0.9340,,,,,,,,,,,,,,,,,,,,,,,,1,0,4057,151.5691,0.0780733,400.4608,542.1669,36,1.3450,14,0.5230,12,71,2.6526,7119,3567,133.2628,0.0976641,6500,,38,38,0,0,0,1.4197,2163,2890,15,2072,2807,15,91,83,0,0,0,0,0,0,0,3401,4249,28,3153,4083,25,248,166,3,0,0,0,0,0,0
ESPORTSTMNT06/1730615,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/1730615?gameHash=4eeef7e87c7c7bae,MSI,2021,,0,2021-05-11 14:02:39,1,11.09,6,Red,top,Buggax,Infinity Esports,Lee Sin,Renekton,Rumble,Morgana,Ryze,Sett,1606,0,3,5,2,6,19,0,0,0,0,0,0,0,1,0.2242,0.9340,,,,,,,,,,,,,,,,,,,,,,,,0,1,7531,281.3574,0.194228,743.4620,717.0112,9,0.3362,3,0.1121,4,12,0.4483,10117,6565,245.2677,0.2615,8450,,221,201,20,18,0,8.2565,3132,4304,72,3668,4863,85,-536,-559,-13,0,1,1,1,0,0,4854,7015,129,5812,7059,121,-958,-44,8,0,1,2,1,1,0
