game,bluetopgp,bluetopwr,bluetopkda,bluejunglegp,bluejunglewr,bluejunglekda,bluemidgp,bluemidwr,bluemidkda,blueadcgp,blueadcwr,blueadckda,bluesupportgp,bluesupportwr,bluesupportkda,redtopgp,redtopwr,redtopkda,redjunglegp,redjunglewr,redjunglekda,redmidgp,redmidwr,redmidkda,redadcgp,redadcwr,redadckda,redsupportgp,redsupportwr,redsupportkda,result
ESPORTSTMNT03/1764826,6,0.5,5.6,2,1.0,3.4,4,0.25,2.4,15,0.6,4.4,14,0.57,2.7,5,0.8,6.0,2,0.0,2.3,6,0.33,2.6,1,0.0,3.3,2,0.0,1.4,0
ESPORTSTMNT06/1570933,6,0.5,3.4,5,0.2,2.0,3,0.0,1.6,5,0.2,4.6,3,0.33,1.6,1,1.0,3.0,6,0.5,2.8,7,0.43,2.2,1,1.0,14.0,6,0.67,2.8,1
ESPORTSTMNT03/1754904,39,0.72,6.3,15,0.53,4.5,8,0.5,3.5,17,0.65,5.5,7,0.57,3.5,6,0.33,2.4,3,0.0,1.8,1,0.0,1.5,45,0.53,4.0,5,0.4,3.4,0
ESPORTSTMNT03/1764866,1,0.0,2.0,19,0.63,5.9,7,0.57,5.1,21,0.48,3.8,6,0.5,2.0,5,0.6,2.5,3,0.33,3.9,11,0.73,7.7,14,0.57,3.2,7,0.57,2.8,1
ESPORTSTMNT03/1764894,12,0.5,2.1,10,0.6,5.7,12,0.58,11.3,27,0.7,6.0,40,0.7,3.3,12,0.5,4.8,6,0.17,2.4,6,0.0,1.6,16,0.69,12.1,23,0.57,4.3,0
ESPORTSTMNT03/1754970,34,0.5,2.9,9,0.67,8.5,11,0.45,2.8,13,0.54,4.7,6,0.33,2.9,8,0.5,2.0,5,0.4,3.1,24,0.58,5.3,4,0.75,8.1,44,0.48,2.8,0
NA1/3794994393,13,0.77,4.3,17,0.71,5.2,13,0.62,3.4,0,0.0,0.0,0,0.0,0.0,5,1.0,9.0,22,0.68,8.8,6,1.0,10.1,27,0.78,5.9,16,0.81,2.5,1
ESPORTSTMNT03/1764927,48,0.69,3.8,21,0.43,2.9,1,0.0,1.3,23,0.61,4.6,4,0.5,2.2,2,0.5,1.1,6,0.5,3.8,19,0.37,4.7,11,0.45,3.2,7,0.29,2.3,1
NA1/3794994650,23,0.74,4.1,20,0.75,6.0,4,1.0,3.8,27,0.78,5.9,27,0.52,2.3,3,0.0,0.6,17,0.71,5.2,13,0.62,3.4,0,0.0,0.0,0,0.0,0.0,0
ESPORTSTMNT03/1764985,7,0.86,4.3,9,0.67,4.7,5,0.8,4.5,31,0.65,5.4,3,0.33,4.1,17,0.41,2.3,5,0.4,2.1,5,0.4,3.2,4,0.75,5.7,20,0.25,2.2,0
