game,blueTopGP,blueTopWR,blueTopKDA,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidGP,blueMidWR,blueMidKDA,blueADCGP,blueADCWR,blueADCKDA,blueSupportGP,blueSupportWR,blueSupportKDA,redTopGP,redTopWR,redTopKDA,redJungleGP,redJungleWR,redJungleKDA,redMidGP,redMidWR,redMidKDA,redAdcGP,redAdcWR,redAdcKDA,redSupportGP,redSupportWR,redSupportKDA,result
ESPORTSTMNT05/1870944,0,0,0,0,0,0,0,0,0,2,0.5,4.29,1,0.0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ESPORTSTMNT02/1735581,0,0,0,1,1.0,16.0,0,0,0,0,0,0,4,0.5,3.77,6,0.67,5.29,1,1.0,2.0,4,0.5,5.5,9,0.56,3.68,0,0,0,0
ESPORTSTMNT05/1870946,0,0,0,1,0.0,3.0,0,0,0,0,0,0,0,0,0,2,0.5,1.0,1,0.0,3.67,0,0,0,3,0.33,3.17,2,0.0,1.43,1
ESPORTSTMNT02/1735586,1,1.0,15.0,4,0.5,4.4,5,0.6,5.44,1,1.0,9.0,5,0.8,4.73,0,0,0,2,1.0,25.0,1,1.0,6.0,0,0,0,1,1.0,17.0,1
ESPORTSTMNT05/1870947,3,0.33,3.33,2,0.0,7.5,1,0.0,4.0,2,0.5,5.0,0,0,0,1,0.0,1.0,0,0,0,1,0.0,3.0,1,0.0,4.67,0,0,0,1
ESPORTSTMNT02/1735600,1,1.0,5.5,1,1.0,4.0,1,1.0,5.33,1,1.0,4.5,2,0.5,30.0,2,1.0,1.33,0,0,0,4,0.75,5.78,1,1.0,3.0,3,1.0,3.9,0
ESPORTSTMNT03/1810429,1,1.0,14.0,0,0,0,0,0,0,1,0.0,0.75,5,1.0,3.06,1,0.0,0.5,12,0.42,3.55,2,0.5,3.14,3,0.33,5.57,6,0.17,5.0,0
ESPORTSTMNT03/1820555,2,0.0,0.91,0,0,0,9,0.33,3.46,2,0.5,2.33,4,0.75,3.83,5,0.4,5.25,2,0.0,18.0,0,0,0,3,0.33,4.14,7,0.43,1.77,1
ESPORTSTMNT03/1810434,8,0.12,2.18,9,0.44,2.0,0,0,0,1,0.0,1.71,11,0.55,3.73,4,0.75,2.04,2,1.0,1.29,3,1.0,3.62,0,0,0,5,0.8,1.36,1
ESPORTSTMNT03/1820558,0,0,0,3,1.0,1.64,12,0.58,2.62,0,0,0,7,0.71,3.45,0,0,0,8,0.38,3.76,12,0.5,5.59,2,1.0,3.6,2,1.0,1.45,0
