bluetop,bluejungle,bluemid,blueadc,bluesupport,redtop,redjungle,redmid,redadc,redsupport,result
Gnar,Nidalee,Orianna,Miss Fortune,Galio,Renekton,Graves,Viktor,Jhin,Leona,0
Gnar,Nidalee,Zoe,Jhin,Leona,Wukong,Graves,Viktor,Miss Fortune,Maokai,0
Ornn,Graves,Syndra,Xayah,Thresh,Kennen,Olaf,Twisted Fate,Kai'Sa,Gragas,0
Kennen,Graves,Syndra,Xayah,Thresh,Jayce,Olaf,Orianna,Jhin,Leona,1
Kennen,Olaf,Syndra,Kai'Sa,Shen,Jayce,Graves,Twisted Fate,Jhin,Leona,1
Aatrox,Olaf,LeBlanc,Jhin,Leona,Camille,Pantheon,Viktor,Miss Fortune,Gragas,1
Malphite,Elise,LeBlanc,Kai'Sa,Thresh,Kled,Kha'Zix,Sylas,Miss Fortune,Leona,1
Gnar,Lillia,Anivia,Ashe,Alistar,Renekton,Nidalee,Yone,Miss Fortune,Morgana,1
Ornn,Graves,LeBlanc,Kai'Sa,Thresh,Volibear,Kha'Zix,Orianna,Miss Fortune,Leona,1
Shen,Olaf,Syndra,Kai'Sa,Rakan,Camille,Elise,Ekko,Jhin,Alistar,1
Kled,Kayn,Riven,Kai'Sa,Thresh,Camille,Lee Sin,Kassadin,Tristana,Leona,0
Aatrox,Kha'Zix,Syndra,Miss Fortune,Shen,Camille,Lillia,Ekko,Jhin,Leona,0
Aatrox,Hecarim,Seraphine,Miss Fortune,Thresh,Shen,Lillia,Lucian,Kai'Sa,Leona,0
Ornn,Lillia,Pantheon,Lucian,Gragas,Volibear,Graves,Galio,Ashe,Taric,0
Akali,Graves,Yone,Kai'Sa,Gragas,Camille,Ekko,LeBlanc,Samira,Alistar,0
Malphite,Nidalee,Yone,Samira,Leona,Sylas,Graves,Orianna,Ezreal,Rakan,0
Ornn,Graves,Syndra,Samira,Rell,Fiora,Hecarim,Viktor,Miss Fortune,Seraphine,0
Poppy,Graves,Seraphine,Draven,Janna,Aatrox,Karthus,Viktor,Samira,Alistar,1
Volibear,Hecarim,Galio,Miss Fortune,Thresh,Camille,Olaf,Orianna,Jhin,Seraphine,0
Ornn,Olaf,Orianna,Samira,Galio,Cho'Gath,Graves,Zoe,Kai'Sa,Leona,0
Ornn,Lillia,Qiyana,Kai'Sa,Bard,Camille,Graves,Twisted Fate,Aphelios,Thresh,1
Fiora,Pantheon,Galio,Jhin,Nami,Akali,Jarvan IV,Vayne,Miss Fortune,Seraphine,1
Pantheon,Olaf,Syndra,Jinx,Thresh,Aatrox,Taliyah,Lucian,Jhin,Nautilus,1
Gragas,Graves,Syndra,Jhin,Galio,Ornn,Lillia,Zoe,Miss Fortune,Leona,0
Volibear,Kindred,Karma,Kai'Sa,Gragas,Renekton,Taliyah,Seraphine,Aphelios,Leona,1
Wukong,Graves,Karma,Samira,Leona,Mordekaiser,Kindred,Pantheon,Kai'Sa,Galio,0
Camille,Olaf,Syndra,Kai'Sa,Galio,Jax,Nidalee,Lucian,Vayne,Alistar,0
Renekton,Taliyah,Akali,Kai'Sa,Nautilus,Ornn,Graves,Zoe,Jhin,Galio,0
Malphite,Kindred,Seraphine,Ashe,Galio,Sylas,Graves,Orianna,Kai'Sa,Leona,1
Ornn,Graves,Syndra,Samira,Alistar,Volibear,Elise,Renekton,Miss Fortune,Leona,0
Poppy,Kindred,Syndra,Kai'Sa,Maokai,Mordekaiser,Graves,Akali,Miss Fortune,Leona,1
Pantheon,Taliyah,Yone,Kai'Sa,Galio,Vladimir,Graves,Orianna,Samira,Nautilus,0
Urgot,Lillia,Sylas,Samira,Galio,Shen,Hecarim,Viktor,Graves,Alistar,0
Camille,Lillia,Zed,Kai'Sa,Rell,Kennen,Graves,Syndra,Samira,Nautilus,0
