game,bluetop,bluetopgp,bluetopwr,bluetopkda,bluejungle,bluejunglegp,bluejunglewr,bluejunglekda,bluemid,bluemidgp,bluemidwr,bluemidkda,blueadc,blueadcgp,blueadcwr,blueadckda,bluesupport,bluesupportgp,bluesupportwr,bluesupportkda,redtop,redtopgp,redtopwr,redtopkda,redjungle,redjunglegp,redjunglewr,redjunglekda,redmid,redmidgp,redmidwr,redmidkda,redadc,redadcgp,redadcwr,redadckda,redsupport,redsupportgp,redsupportwr,redsupportkda,result
NA1/3739425010,Sion,8,50%,2.9,Olaf,3,33%,2.5,Viktor,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,Samira,6,33%,1.6,Alistar,6,50%,4.2,Gangplank,5,20%,1.9,Kindred,6,33%,1.9,Anivia,2,0%,1.1,Kai'Sa,10,50%,2.6,Taric,5,40%,3.4,0
NA1/3739245295,Darius,14,71%,4.1,Jarvan IV,11,36%,4.1,Syndra,18,50%,2.5,Lucian,4,75%,7.3,Thresh,26,58%,3.0,Jax,20,40%,1.8,Hecarim,3,0%,1.5,Xerath,12,42%,4.2,Jhin,13,54%,3.2,Leona,10,50%,3.0,0
NA1/3739444750,Shen,1,0%,1.3,Graves,5,20%,2.6,Akali,4,25%,2.8,Miss Fortune,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,Maokai,2,0%,1.0,Vayne,8,75%,3.0,Lillia,8,63%,4.9,Lucian,2,100%,3.3,Jhin,13,62%,7.6,Galio,8,100%,4.5,1
NA1/3739185374,Rengar,1,0%,1.0,Graves,7,29%,3.6,Galio,7,57%,3.7,Miss Fortune,8,25%,3.1,Morgana,2,50%,6.3,Wukong,4,100%,4.3,Gragas,9,33%,3.6,Lucian,7,86%,4.5,Jhin,15,47%,4.1,Leona,5,60%,2.8,1
NA1/3739464872,Gragas,8,38%,1.6,Graves,17,41%,3.2,Azir,21,43%,3.3,Miss Fortune,3,33%,2.7,Maokai,11,64%,3.6,Camille,6,33%,2.7,Kindred,5,0%,2.7,Viktor,2,0%,2.5,Ezreal,2,50%,4.0,Galio,2,0%,2.0,0
NA1/3739425354,Aatrox,11,73%,3.7,Lillia,9,56%,3.8,Syndra,24,50%,3.5,Miss Fortune,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,Galio,5,80%,4.4,Fiora,4,25%,1.1,Rengar,1,0%,0.5,Akali,2,0%,0.2,Kai'Sa,15,40%,2.8,Bard,6,17%,1.3,0
NA1/3739425471,Camille,8,75%,2.2,Graves,14,71%,3.8,Syndra,6,33%,1.5,Miss Fortune,4,75%,3.4,Thresh,19,53%,2.3,Renekton,1,0%,0.7,Ezreal,13,54%,3.4,Leona,6,17%,1.5,Gragas,5,40%,2.9,Orianna,FIRST TIME PLAYING,FIRST TIME PLAYING,FIRST TIME PLAYING,0
6915-9197,Gragas,9,78%,6.8,Olaf,26,58%,3.8,Orianna,31,74%,5.3,Kai'Sa,83,63%,4.7,Sett,13,62%,3.6,Renekton,22,45%,2.4,Graves,19,42%,4.4,Galio,19,47%,4.0,Aphelios,20,65%,4.5,Thresh,50,52%,3.5,0
6915-9198,Camille,34,82%,4.5,Graves,18,50%,4.4,Twisted Fate,9,89%,7.6,Kai'Sa,83,63%,4.7,Sett,13,62%,3.6,Jax,8,50%,1.6,Nidalee,10,40%,4.4,Viktor,3,0%,1.4,Jhin,5,0%,2.0,Alistar,56,43%,3.2,0
6916-9199,Aatrox,18,33%,2.0,Nidalee,9,33%,2.7,Zoe,6,17%,3.5,Jhin,4,50%,3.1,Galio,1,0%,0.6,Ornn,23,48%,4.1,Graves,51,71%,5.0,Viktor,2,50%,3.4,Kai'Sa,63,70%,5.1,Alistar,25,68%,4.5,1
6916-9200,Renekton,40,48%,2.9,Nidalee,9,33%,2.7,Jayce,14,57%,3.8,Aphelios,6,67%,4.2,Thresh,3,33%,1.7,Kennen,18,44%,2.3,Graves,51,71%,5.0,Zoe,44,68%,6.4,Kai'Sa,63,70%,5.1,Sett,8,88%,4.1,0
6916-9201,Gnar,58,57%,3.7,Nidalee,4,50%,2.7,Twisted Fate,6,67%,3.7,Kai'Sa,12,50%,4.2,Leona,9,56%,2.4,Jayce,25,64%,3.1,Graves,51,71%,5.0,Viktor,7,86%,7.6,Jhin,13,69%,5.7,Alistar,25,68%,4.5,0
ESPORTSTMNT02/1640112,Camille,3,33%,2.0,Pantheon,1,0%,1.5,Karma,1,0%,2.4,Miss Fortune,2,50%,4.4,Galio,2,0%,2.3,Poppy,1,100%,2.6,Graves,4,75%,7.9,Orianna,9,56%,6.1,Kai'Sa,4,75%,9.6,Alistar,4,100%,4.1,1
