game,blueTopGP,blueTopWR,blueTopKDA,blueJungleGP,blueJungleWR,blueJungleKDA,blueMidGP,blueMidWR,blueMidKDA,blueADCGP,blueADCWR,blueADCKDA,blueSupportGP,blueSupportWR,blueSupportKDA,redTopGP,redTopWR,redTopKDA,redJungleGP,redJungleWR,redJungleKDA,redMidGP,redMidWR,redMidKDA,redAdcGP,redAdcWR,redAdcKDA,redSupportGP,redSupportWR,redSupportKDA,result
NA1/3745069674,3,0.0,1.2,2,0.0,1.9,1,0.0,4.2,1,0.0,1.8,2,0.0,2.1,7,0.71,2.7,7,0.71,4.3,3,0.67,1.6,9,0.44,3.1,0,0,0,1
NA1/3745249099,3,0.33,2.3,9,0.67,5.6,15,0.4,2.5,26,0.62,3.8,14,0.5,2.9,23,0.61,3.9,6,0.83,7.3,23,0.83,5.3,13,0.62,7.6,36,0.67,3.1,1
NA1/3745448616,15,0.53,4.2,6,0.5,3.3,4,0.75,4.3,38,0.5,3.7,11,0.27,2.0,6,0.33,2.0,3,0.33,1.6,0,0,0,7,0.29,1.5,1,0.0,0.5,0
6923-9260,17,0.41,2.6,9,0.33,2.1,39,0.59,4.8,1,0.0,0.3,2,0.5,2.7,11,0.55,3.4,11,0.64,4.2,6,0.33,1.7,14,0.29,4.0,28,0.46,2.6,1
NA1/3745369513,0,0,0,2,0.5,3.5,17,0.53,2.5,23,0.65,4.0,11,0.09,2.0,10,0.7,3.9,12,0.5,3.5,8,0.5,3.9,0,0,0,0,0,0,1
NA1/3745408824,2,0.0,3.4,3,0.0,1.8,4,0.25,2.2,8,0.38,3.1,1,0.0,4.3,4,0.5,1.5,5,0.6,2.7,6,0.67,2.7,8,0.5,2.6,6,0.33,1.7,1
NA1/3746880053,2,1.0,2.8,5,0.4,4.4,0,0,0,18,0.89,5.9,14,0.43,3.4,8,0.38,3.3,3,0.33,3.4,4,0.5,1.9,5,0.2,1.1,4,0.25,1.1,0
NA1/3745418833,6,0.33,2.6,6,0.33,3.5,24,0.5,3.5,0,0,0,5,0.2,2.6,1,1.0,2.4,6,0.17,1.3,0,0,0,7,0.57,3.3,3,0.33,1.8,1
NA1/3745488877,28,0.36,2.2,28,0.71,4.5,8,0.63,3.5,13,0.62,7.6,6,0.5,1.9,17,0.71,4.0,9,0.67,5.6,8,0.38,4.9,26,0.62,3.8,25,0.84,3.7,1
NA1/3745449081,2,1.0,14.0,15,0.53,3.6,3,0.67,5.8,4,0.75,5.8,12,0.67,4.2,10,0.4,1.4,24,0.63,3.2,0,0,0,8,0.38,3.1,6,0.5,4.2,0
ESPORTSTMNT01/1691645,45,0.64,2.9,10,0.2,2.9,5,0.4,2.9,12,0.33,3.2,27,0.26,2.3,36,0.67,4.9,25,0.8,5.9,10,0.8,6.1,39,0.72,4.7,12,0.58,3.1,1
